id,level,topic,title,fact_check_status,fact_check_scope,source_title,source_url,checked_at,notes
"s1726","2","Science","Colors in a Drop of Rain","verified-against-authoritative-source","factual statements and qualifications","NOAA SciJinks: What Causes a Rainbow?","https://scijinks.gov/rainbow/","2026-09-14","Refraction, internal reflection, and separation of sunlight into colors by water drops."
"s1727","2","Famous books","Black Beauty Finds a Gentle Home","verified-against-primary-text","plot, characters, outcome, and source work","Project Gutenberg: Black Beauty","https://www.gutenberg.org/ebooks/271","2026-09-14","Primary-text comparison of Beauty's owners, mistreatment, illness, and final home."
"s1728","2","Mystery and adventure","The Note in the Empty Jar","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1729","2","Travel and culture","Rain at the Hill Market","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1730","2","People and biography","Dani Opens a Tool Box","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1731","3","Fantasy/stories","The Clock That Needed a Story","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1732","3","Nature and animals","A Meadow Under the Sea","verified-against-authoritative-source","factual statements and qualifications","NOAA: Coastal Blue Carbon","https://oceanservice.noaa.gov/ecosystems/coastal-blue-carbon/","2026-09-14","Seagrass habitat and long-term carbon storage in coastal sediment."
"s1733","3","World affairs","The Clinic's Three Languages","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1734","3","Everyday life","The Coat with Two Owners","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1735","3","History","Books Carried Out of Timbuktu","verified-against-authoritative-source","factual statements and qualifications","UNESCO: Reconstruction and safeguarding in Timbuktu","https://www.unesco.org/en/articles/unesco-and-european-union-undertake-reconstruct-cultural-heritage-timbuktu","2026-09-14","The 2012 conflict, manuscript losses, and secret transfer of large collections."
"s1736","3","Science","Water Keeps Moving","verified-against-authoritative-source","factual statements and qualifications","U.S. Geological Survey: Water Cycle","https://www.usgs.gov/water-science-school/water-cycle","2026-09-14","Evaporation, condensation, precipitation, runoff, infiltration, and storage."
"s1737","3","Famous books","Anne Chooses Green Gables","verified-against-primary-text","plot, characters, outcome, and source work","Project Gutenberg: Anne of Green Gables","https://www.gutenberg.org/ebooks/45","2026-09-14","Primary-text comparison of Anne's arrival, growth, loss, and decision to remain near Marilla."
"s1738","3","Mystery and adventure","The Train Ticket with No Town","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1739","3","Travel and culture","Bread from the Shared Oven","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1740","3","People and biography","Arun Records the Quiet Hours","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1741","4","Fantasy/stories","The Door That Opened on Tuesdays","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1742","4","Nature and animals","Pines That Wait for Fire","verified-against-authoritative-source","factual statements and qualifications","U.S. National Park Service: Wildland Fire in Lodgepole Pine","https://www.nps.gov/articles/wildland-fire-lodgepole-pine.htm","2026-09-14","Heat-opened cones, seed release, and fire ecology."
"s1743","4","World affairs","The Bridge Used by Two Towns","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1744","4","Everyday life","The Week without a Washing Machine","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1745","4","History","Counting Grain on Clay","verified-against-authoritative-source","factual statements and qualifications","Library of Congress: Clay Tablets Reveal Accounting Answers","https://www.loc.gov/collections/cuneiform-tablets/articles-and-essays/clay-tablets-reveal-accounting-answers/","2026-09-14","Administrative records for grain, animals, labor, and payments."
"s1746","4","Science","A Lever Lifts the Stone","verified-against-authoritative-source","factual statements and qualifications","OpenStax Physics: Simple Machines","https://openstax.org/books/physics/pages/9-3-simple-machines","2026-09-14","Lever, fulcrum, force, distance, and mechanical advantage."
"s1747","4","Famous books","Fogg's Eighty-Day Promise","verified-against-primary-text","plot, characters, outcome, and source work","Project Gutenberg: Around the World in Eighty Days","https://www.gutenberg.org/ebooks/103","2026-09-14","Primary-text comparison of the wager, companions, delays, date line, and return."
"s1748","4","Mystery and adventure","The Bell beneath the Path","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1749","4","Travel and culture","The Ferry with a Library Shelf","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1750","4","People and biography","Lea Measures the Bus Stops","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1751","5","Fantasy/stories","The Gallery of Abandoned Wishes","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1752","5","Nature and animals","Living Light in the Ocean","verified-against-authoritative-source","factual statements and qualifications","NOAA Ocean Exploration: What is bioluminescence?","https://oceanexplorer.noaa.gov/ocean-fact/bioluminescence/","2026-09-14","Chemical production of light and ecological functions in the ocean."
"s1753","5","World affairs","The Island's Fresh-Water Plan","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1754","5","Everyday life","A Calendar for Caring","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1755","5","History","Steering by Stars and Swells","verified-against-authoritative-source","factual statements and qualifications","Smithsonian Center for Folklife: Hōkūleʻa and Hawaiian Wayfinding","https://folklife.si.edu/magazine/hokulea-hawaiian-wayfinding","2026-09-14","Navigation by stars, Sun, swells, and trained observation; modern cultural renewal."
"s1756","5","Science","A Practice Alarm for the Immune System","verified-against-authoritative-source","factual statements and qualifications","U.S. Centers for Disease Control and Prevention: Explaining How Vaccines Work","https://www.cdc.gov/vaccines/basics/explaining-how-vaccines-work.html","2026-09-14","Immune preparation, active ingredients, imperfect protection, multiple doses, and boosters."
"s1757","5","Famous books","Mowgli Hears the Law of the Jungle","verified-against-primary-text","plot, characters, outcome, and source work","Project Gutenberg: The Jungle Book","https://www.gutenberg.org/ebooks/236","2026-09-14","Primary-text comparison of Mowgli's upbringing, teachers, Shere Khan, fire, and belonging."
"s1758","5","Mystery and adventure","The Photograph Taken after Closing","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1759","5","Travel and culture","The Chorus Shared before Dawn","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1760","5","People and biography","Mateo Builds a Cooler Classroom","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1761","6","Fantasy/stories","The Summer Missing from the Calendar","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1762","6","Nature and animals","Salmon Carry the Sea Inland","verified-against-authoritative-source","factual statements and qualifications","NOAA Fisheries: Ecosystem Interactions and Pacific Salmon","https://www.fisheries.noaa.gov/west-coast/sustainable-fisheries/ecosystem-interactions-and-pacific-salmon","2026-09-14","Salmon life-cycle connections, food webs, and movement of marine nutrients inland."
"s1763","6","World affairs","The Vaccine Freezer at the Border","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1764","6","Everyday life","The Subscription Nobody Used","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1765","6","History","Timbuktu's Libraries of Many Homes","verified-against-authoritative-source","factual statements and qualifications","UNESCO World Heritage Centre: Timbuktu","https://whc.unesco.org/en/list/119/","2026-09-14","Timbuktu's role as a center of trade, scholarship, schools, and manuscript exchange."
"s1766","6","Science","Why the City Stays Hot after Sunset","verified-against-authoritative-source","factual statements and qualifications","U.S. Environmental Protection Agency: What Are Heat Islands?","https://www.epa.gov/heatislands/what-are-heat-islands","2026-09-14","Heat absorption and release, vegetation, urban form, human heat, and local variation."
"s1767","6","Famous books","Edmond Dantès Returns under Another Name","verified-against-primary-text","plot, characters, outcome, and source work","Project Gutenberg: The Count of Monte Cristo","https://www.gutenberg.org/ebooks/1184","2026-09-14","Primary-text comparison of false accusation, imprisonment, treasure, disguise, and revenge."
"s1768","6","Mystery and adventure","The Lighthouse Log with Two Midnights","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1769","6","Travel and culture","The Courtyard behind the Music Shop","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1770","6","People and biography","Sora Maps the Missing Trees","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1771","7","Fantasy/stories","Mara Learns the Storm Language","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1772","7","Nature and animals","A Compass inside an Animal","verified-against-authoritative-source","factual statements and qualifications","U.S. Geological Survey: Do animals use the magnetic field for orientation?","https://www.usgs.gov/faqs/do-animals-use-magnetic-field-orientation","2026-09-14","Evidence for magnetic orientation and the use of multiple navigational cues."
"s1773","7","World affairs","The Border River Council","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1774","7","Everyday life","The Family Archive on Four Phones","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1775","7","History","A Student's Clay Exercise","verified-against-authoritative-source","factual statements and qualifications","Library of Congress: Cuneiform Tablets Collection","https://www.loc.gov/collections/cuneiform-tablets/about-this-collection/","2026-09-14","The range of administrative, literary, and educational uses of clay tablets."
"s1776","7","Science","Continents on Moving Plates","verified-against-authoritative-source","factual statements and qualifications","U.S. Geological Survey: Understanding Plate Motions","https://www.usgs.gov/programs/earthquake-hazards/science/understanding-plate-motions","2026-09-14","Plate boundaries, crustal creation and loss, earthquakes, volcanoes, and motion rates."
"s1777","7","Famous books","Jane Eyre Refuses an Unequal Choice","verified-against-primary-text","plot, characters, outcome, and source work","Project Gutenberg: Jane Eyre","https://www.gutenberg.org/ebooks/1260","2026-09-14","Primary-text comparison of Lowood, Thornfield, the interrupted wedding, independence, and return."
"s1778","7","Mystery and adventure","The Map Drawn in Condensation","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1779","7","Travel and culture","The Guide Who Revised the Tour","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1780","7","People and biography","Noor Designs a Fair Queue","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1781","8","Fantasy/stories","The Cartographer of Possible Roads","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1782","8","Nature and animals","A Community Built on a Fallen Whale","verified-against-authoritative-source","factual statements and qualifications","NOAA: What is a whale fall?","https://oceanservice.noaa.gov/facts/whale-fall.html","2026-09-14","Ecological succession and long-lived food and habitat around a whale carcass."
"s1783","8","World affairs","The Price of Moving a Coastline","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1784","8","Everyday life","The Meeting That Became an Email","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1785","8","History","Reading the Ocean in Bent Sticks","verified-against-authoritative-source","factual statements and qualifications","Smithsonian Ocean: Navigating the Waters with Micronesian Stick Charts","https://ocean.si.edu/human-connections/history-cultures/navigating-waters-micronesian-stick-charts","2026-09-14","Charts as training tools embedded in practiced ocean knowledge rather than portable street maps."
"s1786","8","Science","Editing DNA with a Guided Tool","verified-against-authoritative-source","factual statements and qualifications","National Human Genome Research Institute: What is Genome Editing?","https://www.genome.gov/about-genomics/policy-issues/Genome-Editing/what-is-genome-editing","2026-09-14","Targeted DNA change, CRISPR-Cas9, repair, delivery challenges, and ethical distinctions."
"s1787","8","Famous books","Odysseus Returns to Ithaca","verified-against-primary-text","plot, characters, outcome, and source work","Project Gutenberg: The Odyssey","https://www.gutenberg.org/ebooks/1727","2026-09-14","Primary-text comparison of the voyage, Penelope's delay, disguise, bow, and recognition."
"s1788","8","Mystery and adventure","The Dataset with a Perfect Pattern","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1789","8","Travel and culture","A Recipe with No Single Homeland","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1790","8","People and biography","Imani Tests the Flood Warning","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1791","9","Fantasy/stories","The Ministry of Unspoken Consequences","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1792","9","Nature and animals","Peatlands: Slow Growth, Large Stores","verified-against-authoritative-source","factual statements and qualifications","UNEP: Peatlands store twice as much carbon as all the world's forests","https://www.unep.org/news-and-stories/story/peatlands-store-twice-much-carbon-all-worlds-forests","2026-09-14","Waterlogged peat formation, carbon storage, drainage, and restoration."
"s1793","9","World affairs","Rebuilding While Loans Remain","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1794","9","Everyday life","A Recommendation Engine at Dinner","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1795","9","History","A Tablet without Its Excavation Story","verified-against-authoritative-source","factual statements and qualifications","Library of Congress: Cuneiform Tablets Collection","https://www.loc.gov/collections/cuneiform-tablets/about-this-collection/","2026-09-14","Collection history and the interpretive limits created by incomplete provenance."
"s1796","9","Science","Listening to Space-Time","verified-against-authoritative-source","factual statements and qualifications","LIGO: What Are Gravitational Waves?","https://www.ligo.caltech.edu/page/what-are-gw","2026-09-14","Space-time ripples, laser interferometry, compact-object mergers, and the first direct detection."
"s1797","9","Famous books","The War of the Worlds without Human Victory","verified-against-primary-text","plot, characters, outcome, and source work","Project Gutenberg: The War of the Worlds","https://www.gutenberg.org/ebooks/36","2026-09-14","Primary-text comparison of the invasion, technological imbalance, social collapse, and microbial ending."
"s1798","9","Mystery and adventure","The Anonymous Reviewer's Footnotes","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1799","9","Travel and culture","The Festival after the Cameras Leave","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1800","9","People and biography","Elias Audits the Helpful Algorithm","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1801","10","Fantasy/stories","The Republic of Reversible Decisions","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1802","10","Nature and animals","Wolves, Elk, and the Limits of a Simple Cascade","verified-against-authoritative-source","factual statements and qualifications","U.S. National Park Service: Cycles and Processes in Yellowstone","https://www.nps.gov/yell/learn/nature/cycles-and-processes.htm","2026-09-14","Wolf restoration, trophic-cascade evidence, and explicit scientific cautions about multiple causes."
"s1803","10","World affairs","The Carbon Market and the Forest Village","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1804","10","Everyday life","The Inheritance of Digital Accounts","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1805","10","History","Saving Timbuktu's Manuscripts without Freezing Their Meaning","verified-against-authoritative-source","factual statements and qualifications","UNESCO: Reconstruction and safeguarding in Timbuktu","https://www.unesco.org/en/articles/unesco-and-european-union-undertake-reconstruct-cultural-heritage-timbuktu","2026-09-14","Community stewardship, physical conservation, training, libraries, and manuscript safeguarding."
"s1806","10","Science","A Measurement Is More Than a Number","verified-against-authoritative-source","factual statements and qualifications","NIST: Essentials of Expressing Measurement Uncertainty","https://physics.nist.gov/cuu/Uncertainty/basic.html","2026-09-14","Measurement models, Type A and Type B components, standard and expanded uncertainty."
"s1807","10","Famous books","The Karamazov Brothers and the Burden of Choice","verified-against-primary-text","plot, characters, outcome, and source work","Project Gutenberg: The Brothers Karamazov","https://www.gutenberg.org/ebooks/28054","2026-09-14","Primary-text comparison of the brothers, murder, Smerdyakov's confession, trial, and moral responsibility."
"s1808","10","Mystery and adventure","The Archive That Corrected Itself","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1809","10","Travel and culture","Returning an Ancestor's Recording","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1810","10","People and biography","Ada Writes the Failure Report First","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
