id,level,topic,title,word_count,sentence_count,avg_sentence_words,mean_zipf_frequency,low_frequency_pct,very_low_frequency_pct,long_word_pct,probable_proper_noun_types,lexical_flags,syntax_flag,status
s104,8,Science,Star That Refuses to Die Quietly,350,9,39.33,5.19,15.34,1.42,40.06,1,,no,within-guardrails
s105,5,Famous books,Scrooge Wakes on Christmas Morning,213,19,11.21,5.953,3.06,0.0,11.22,6,,no,within-guardrails
s106,6,Famous books,The Crisis Caused by Lydia,199,17,11.71,5.868,5.08,0.0,13.56,10,,no,within-guardrails
s107,7,Famous books,Pip Learns Who Helped Him,208,19,10.95,5.814,7.25,0.52,15.54,7,,no,within-guardrails
s108,8,Famous books,Carton and Darnay Look Alike,201,19,10.58,5.728,7.57,0.0,17.84,7,,no,within-guardrails
s109,9,Fantasy/stories,Cartomancer's Final Reading,476,11,43.55,5.346,14.19,3.55,28.16,3,,no,within-guardrails
s110,9,Fantasy/stories,Puppeteer Who Lost the Strings,452,10,45.4,5.188,20.72,3.83,36.49,2,,no,within-guardrails
s111,10,Fantasy/stories,The Alchemist's Unfinished Equation,538,10,54.2,5.036,19.77,4.52,44.07,4,,no,within-guardrails
s112,10,Fantasy/stories,Keeper of Names No One Speaks,530,10,53.1,5.164,17.87,3.42,37.83,3,,no,within-guardrails
s113,9,Nature and animals,How Instinct and Experience Guide Bird Migration,206,16,12.88,5.474,8.82,0.49,26.96,2,,no,within-guardrails
s114,9,Nature and animals,How Cleaner Fish Trade a Service,200,13,15.38,5.504,10.5,0.5,22.0,0,,no,within-guardrails
s115,10,Nature and animals,Ecosystem Hidden Beneath the Ice,483,9,54.0,4.999,16.35,3.56,47.38,5,,no,within-guardrails
s116,10,Nature and animals,What Scientists Mean by Self-Domestication,215,14,15.36,5.456,12.68,1.41,28.64,1,,no,within-guardrails
s117,9,World affairs,The Currency Backed by Trust Alone,469,12,39.08,5.163,13.86,0.64,46.7,0,,no,within-guardrails
s118,9,World affairs,Parliament That Meets Underwater,507,12,42.42,5.074,13.75,1.38,42.83,0,,no,within-guardrails
s119,10,World affairs,Diplomatic Immunity That Outlived Its Purpose,528,10,53.0,5.056,14.15,1.53,48.37,1,,no,within-guardrails
s120,10,World affairs,The Federation That Never Formally Existed,476,12,39.67,5.102,14.5,1.26,50.42,0,,no,within-guardrails
s121,9,Everyday life,Grief That Arrived Years Late,507,12,42.42,5.314,9.96,1.79,33.67,2,,no,within-guardrails
s122,9,Everyday life,Language Two Siblings Invented,451,10,45.2,5.179,14.61,2.74,42.92,5,,no,within-guardrails
s123,10,Everyday life,The Inheritance of an Unfinished Argument,559,12,46.83,5.327,12.39,1.09,35.88,2,,no,within-guardrails
s124,10,Everyday life,Correspondence That Outlasted the Marriage,553,11,50.55,5.315,14.23,2.55,34.67,2,,no,within-guardrails
s125,9,History,Cartographer Who Erased a Kingdom,554,13,42.62,5.158,17.22,3.48,44.32,2,,no,within-guardrails
s126,9,History,The Famine That Rewrote a Legal Code,554,13,42.62,5.044,16.43,3.07,42.06,0,,no,within-guardrails
s127,10,History,Empire That Governed by Rumor,582,12,48.5,5.058,17.65,3.46,51.04,1,,no,within-guardrails
s128,10,History,Scribe Who Forged His Own Death,600,13,46.15,5.269,10.83,1.52,42.3,2,,no,within-guardrails
s129,9,Science,How a Small Biological Change Can Affect a Food Web,205,12,17.08,5.572,10.73,0.98,22.44,0,,no,within-guardrails
s130,9,Science,Memory That Exists Outside the Brain,473,12,39.83,4.965,19.33,2.52,44.12,1,,no,within-guardrails
s131,10,Science,Symmetry That Physics Cannot Explain,589,11,53.91,5.045,17.12,4.92,47.29,1,,no,within-guardrails
s132,10,Science,The Jellyfish That Can Reverse Its Life Cycle,525,12,43.75,5.074,15.24,2.86,44.76,0,,no,within-guardrails
s133,9,Famous books,Elizabeth Reconsiders Mr Darcy,220,16,13.75,5.641,8.29,0.49,20.49,8,,no,within-guardrails
s134,9,Famous books,The Creature Argues for Justice,214,18,11.94,5.577,9.13,0.96,22.6,4,,no,within-guardrails
s135,10,Famous books,Gulliver's Travels as Political Satire,242,16,15.12,5.515,14.72,1.3,23.81,8,,no,within-guardrails
s136,10,Famous books,Frankenstein and the Creator's Responsibility,256,19,13.53,5.666,6.4,0.8,23.6,3,,no,within-guardrails
s137,5,Fantasy/stories,Chair That Remembers Who Sat In It,279,14,20.0,5.714,7.14,0.0,14.29,0,,no,within-guardrails
s138,6,Fantasy/stories,The Miller Who Ground Silence Into Flour,273,9,30.67,5.345,12.83,1.13,20.0,4,,no,within-guardrails
s139,7,Fantasy/stories,Locksmith Who Sold Second Chances,219,20,10.95,5.687,4.65,1.4,22.33,1,,no,within-guardrails
s140,8,Fantasy/stories,Shepherd Who Herded Forgotten Wishes,442,13,34.0,5.279,15.08,2.55,30.16,3,,no,within-guardrails
s141,9,Fantasy/stories,The Glassblower Who Trapped a Single Regret,429,10,43.0,5.285,16.51,2.36,33.49,1,,no,within-guardrails
s142,10,Fantasy/stories,Astronomer Who Charted a Sky That Wasn't There,439,9,48.78,4.943,24.71,3.73,47.55,3,,no,within-guardrails
s143,5,Nature and animals,Squirrel That Plants a Forest by Accident,185,17,10.88,5.617,8.89,2.78,6.11,1,very-low-frequency,no,vocabulary-review
s144,6,Nature and animals,The Frog That Freezes Solid and Survives,325,7,46.43,5.262,13.54,3.38,28.92,0,very-low-frequency,yes,vocabulary-review
s145,7,Nature and animals,Spider That Fishes on the Water,218,17,12.94,5.453,12.27,1.82,13.64,0,,no,within-guardrails
s146,8,Nature and animals,"Black Walnut, Juglone, and Plant Competition",197,13,15.15,5.374,10.66,2.54,21.32,0,,no,within-guardrails
s147,9,Nature and animals,The Fish That Changes Sex to Save the Group,406,9,45.22,5.299,14.25,1.72,35.38,0,,no,within-guardrails
s148,10,Nature and animals,Genome That Contains an Ancient Virus's Instructions,472,9,53.33,5.058,18.66,2.73,40.88,1,,no,within-guardrails
s149,5,World affairs,Town That Pays Its Bus Fares in Books,198,18,11.0,5.72,6.06,0.0,13.64,0,,no,within-guardrails
s150,8,World affairs,The Country That Sends Its Trash to Make Electricity,358,10,35.8,5.246,10.06,1.4,40.78,0,,no,within-guardrails
s151,7,World affairs,City That Elected a Committee of Children,379,9,42.11,5.207,10.29,0.79,40.9,0,long-words,yes,vocabulary-review
s152,8,World affairs,Nation That Rents Its Army to the United Nations,448,9,49.78,5.134,17.39,1.37,47.83,2,long-words,yes,vocabulary-review
s153,9,World affairs,The Region That Prints Its Own Local Currency Alongside the National One,449,12,37.42,5.286,8.69,0.45,41.2,0,,no,within-guardrails
s154,10,World affairs,Court That Has No Country to Enforce Its Rulings,512,10,51.4,5.189,10.12,0.58,43.58,0,,no,within-guardrails
s155,5,Everyday life,Jar of Coins Saved for Nothing in Particular,277,11,25.18,5.616,8.42,0.73,16.12,2,,no,within-guardrails
s156,6,Everyday life,The Neighbor Who Waters Plants While You're Away,194,17,11.41,5.662,8.06,0.54,15.59,2,,no,within-guardrails
s157,7,Everyday life,Apartment That Echoes Differently at Night,212,19,11.16,5.691,8.17,0.96,17.31,2,,no,within-guardrails
s158,8,Everyday life,Promise Kept Long After It Was Forgotten,425,11,38.91,5.405,11.24,1.2,30.38,2,,no,within-guardrails
s159,9,Everyday life,The Silence That Followed a Retirement,473,11,43.27,5.341,8.3,1.28,32.98,1,,no,within-guardrails
s160,10,Everyday life,House That Two Siblings Could Not Agree to Sell,454,9,50.89,5.272,11.83,1.12,39.06,4,,no,within-guardrails
s161,6,History,Well That Never Ran Dry,235,18,13.06,5.725,4.26,0.43,15.32,0,,no,within-guardrails
s162,8,History,The Merchant Who Paid His Taxes in Salt,380,10,38.0,5.138,13.53,3.45,41.64,2,,no,within-guardrails
s163,7,History,Bridge Built to Be Destroyed,419,10,41.9,5.239,11.81,1.93,39.28,2,long-words,yes,vocabulary-review
s164,8,History,Treaty Signed by Two Men Who Never Met,411,11,37.36,5.176,18.49,1.7,42.34,0,long-words,no,vocabulary-review
s165,9,History,The Regent Who Ruled for a Single Afternoon,444,11,40.36,5.193,17.19,2.26,39.59,1,,no,within-guardrails
s166,10,History,Archive That Survived by Being Ignored,517,11,47.0,5.166,10.22,1.57,49.9,1,,no,within-guardrails
s167,5,Science,Why Bananas Turn Brown So Quickly,309,7,44.14,5.36,12.66,6.17,16.23,1,very-low-frequency,yes,vocabulary-review
s168,6,Science,How Bread Mold Grows Even in the Fridge,337,11,30.82,5.236,14.41,0.9,25.83,2,,no,within-guardrails
s169,7,Science,Reason Metal Feels Colder Than Wood,376,11,34.18,5.269,13.3,1.6,32.98,0,,no,within-guardrails
s170,8,Science,Gas That Makes Deep Divers Talk Strangely,403,10,41.0,4.989,20.98,1.95,37.8,0,low-frequency,no,vocabulary-review
s171,9,Science,How Proteins Find a Working Shape,203,14,14.5,5.412,12.81,1.97,24.14,0,,no,within-guardrails
s172,10,Science,Vacuum That Isn't Actually Empty,456,9,50.78,4.963,14.98,3.52,43.83,2,,no,within-guardrails
s173,5,Famous books,The Mutiny Begins,209,22,9.5,5.874,4.26,0.0,8.51,10,,no,within-guardrails
s174,6,Famous books,Victor Brings the Creature to Life,202,18,11.22,5.884,4.1,0.0,18.97,2,,no,within-guardrails
s175,7,Famous books,The Bishop and the Candlesticks,205,18,11.39,5.753,4.55,1.01,10.61,2,,no,within-guardrails
s176,8,Famous books,Sydney Carton's Final Choice,199,18,11.06,5.807,6.04,1.1,13.74,8,,no,within-guardrails
s177,9,Famous books,Valjean Faces an Impossible Choice,228,16,14.25,5.722,6.54,0.0,15.89,3,,no,within-guardrails
s178,10,Famous books,"Moby-Dick: Fate, Freedom, and Obsession",252,21,12.05,5.604,9.75,0.42,19.49,7,,no,within-guardrails
s179,5,Fantasy/stories,Baker's Daughter Who Could Taste Lies,314,13,24.15,5.724,5.86,0.0,13.03,2,,no,within-guardrails
s180,5,Fantasy/stories,The Scarecrow That Learned to Whistle,298,12,24.92,5.504,13.65,2.39,16.04,2,low-frequency,no,vocabulary-review
s181,6,Fantasy/stories,Cobbler Who Mended Broken Promises,350,13,26.92,5.521,7.6,1.75,21.93,3,,no,within-guardrails
s182,6,Fantasy/stories,Ferryman Who Only Crossed at Midnight,179,16,11.19,5.838,3.41,0.0,9.09,1,,no,within-guardrails
s183,7,Fantasy/stories,The Beekeeper Who Traded Honey for Memories,224,20,11.2,5.75,7.34,0.46,13.76,2,,no,within-guardrails
s184,7,Fantasy/stories,Mapmaker's Daughter Who Drew What Wasn't There Yet,340,10,34.0,5.417,9.34,1.81,27.71,2,,no,within-guardrails
s185,8,Fantasy/stories,Potter Who Shaped Silence Into Bowls,395,10,39.6,5.395,7.97,1.29,25.19,2,,no,within-guardrails
s186,8,Fantasy/stories,The Watchmaker Who Sold Borrowed Mornings,433,11,39.55,5.357,9.77,1.63,31.63,2,,no,within-guardrails
s187,5,Nature and animals,How Woodpeckers Withstand Repeated Pecking,204,13,15.69,5.516,12.25,4.41,15.69,0,very-low-frequency,no,vocabulary-review
s188,5,Nature and animals,Owl That Hunts by Sound Alone,297,11,27.27,5.361,13.33,2.33,20.67,0,low-frequency,yes,vocabulary-review
s189,6,Nature and animals,The Turtle That Breathes Through Its Skin,214,15,14.27,5.674,7.94,0.47,10.75,0,,no,within-guardrails
s190,6,Nature and animals,Plant That Traps Insects for Dinner,182,16,11.38,5.762,7.18,0.55,5.52,1,,no,within-guardrails
s191,7,Nature and animals,The Bird That Builds a Bower to Attract Mates,345,9,38.33,5.045,17.97,4.06,35.07,0,low-frequency|very-low-frequency,yes,vocabulary-review
s192,7,Nature and animals,The Shrimp That Sees Colors Humans Cannot,323,9,36.0,5.151,15.51,1.9,29.11,1,,no,within-guardrails
s193,8,Nature and animals,Tardigrade That Survives the Vacuum of Space,365,9,40.89,5.122,12.53,4.63,42.23,1,long-words,no,vocabulary-review
s194,8,Nature and animals,A Giant Fungus Beneath the Forest,395,10,39.5,5.122,15.7,2.78,40.76,0,,no,within-guardrails
s195,5,World affairs,The Town Where Everyone Owns a Piece of the Bakery,337,8,42.12,5.533,6.53,0.0,27.3,0,long-words,yes,vocabulary-review
s196,6,World affairs,School Bus That Doubles as a Mobile Library,219,19,11.53,5.679,1.83,0.0,12.33,0,,no,within-guardrails
s197,6,World affairs,City That Turned Its Empty Lots Into Gardens,368,10,36.8,5.237,7.61,0.27,39.13,0,long-words,yes,vocabulary-review
s198,7,World affairs,The Country That Requires Every Law to Expire,429,13,33.0,5.19,16.08,2.1,35.66,0,,no,within-guardrails
s199,7,World affairs,Village That Votes by Placing Stones in Jars,408,9,45.33,5.183,13.97,0.25,39.71,0,long-words,yes,vocabulary-review
s200,8,World affairs,Nation That Shares Its Border Guards With a Neighbor,441,12,36.75,5.176,7.94,0.45,41.95,0,,no,within-guardrails
s201,8,World affairs,The City-State That Outsources Its Own Foreign Policy,506,13,38.92,5.276,9.29,0.79,45.45,0,long-words,no,vocabulary-review
s202,8,World affairs,Country Whose Constitution Fits on a Single Page,472,13,36.31,5.163,15.25,2.75,42.8,0,long-words,no,vocabulary-review
s203,5,Everyday life,Sweater That Outlived Three Winters,293,10,29.5,5.383,13.15,2.08,22.84,2,low-frequency,yes,vocabulary-review
s204,5,Everyday life,The Morning Walk That Became a Habit,194,17,11.41,5.888,2.14,0.0,6.95,3,,no,within-guardrails
s205,6,Everyday life,Potluck Dinner That Started By Accident,199,16,12.44,5.785,5.13,1.54,12.31,2,,no,within-guardrails
s206,6,Everyday life,Spare Key Under the Wrong Mat,202,18,11.22,5.634,6.19,1.03,15.46,3,,no,within-guardrails
s207,7,Everyday life,The Garden Plot Shared by Strangers,320,9,35.56,5.246,13.8,1.01,35.02,3,,no,within-guardrails
s208,7,Everyday life,Voicemail Never Deleted,328,7,47.0,5.236,12.65,4.01,29.63,1,very-low-frequency,yes,vocabulary-review
s209,8,Everyday life,Chair at the Table No One Sits In,376,10,37.9,5.395,11.56,1.88,26.88,2,,no,within-guardrails
s210,8,Everyday life,The Photographs Nobody Could Agree to Divide,413,10,41.4,5.42,6.39,0.74,36.86,2,,no,within-guardrails
s211,5,History,Baker Who Fed a Whole Army by Accident,345,12,28.75,5.431,12.06,1.47,25.29,2,long-words,yes,vocabulary-review
s212,5,History,Lighthouse Keeper Who Refused to Leave,211,19,11.11,5.743,6.31,0.0,11.17,1,,no,within-guardrails
s213,6,History,The Village That Traded Places With Its Neighbor,409,12,34.08,5.293,14.32,1.53,40.15,3,long-words,yes,vocabulary-review
s214,6,History,Soldier Who Delivered Peace Instead of War,423,9,47.0,5.363,8.63,1.2,31.18,2,long-words,yes,vocabulary-review
s215,7,History,Judge Who Ruled Against His Own King,253,19,13.32,5.704,6.43,1.2,19.68,1,,no,within-guardrails
s216,7,History,The Harbor Built by Mistake,383,11,34.82,5.367,12.27,3.13,39.16,0,long-words,no,vocabulary-review
s217,8,History,Minister Who Governed From Exile,416,11,37.82,5.274,15.38,1.44,39.9,0,,no,within-guardrails
