id,level,topic,title,fact_check_status,fact_check_scope,source_title,source_url,checked_at,notes
"s1823","2","World affairs","Water at the Bus Stop","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1824","2","Everyday life","The Quiet Phone Basket","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1825","2","History","Roads Built in Layers","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","Encyclopaedia Britannica: Roman road system","https://www.britannica.com/technology/Roman-road-system","2026-09-14","Variation in Roman road construction, layers, drainage, and network uses."
"s1826","2","Science","Sound from a String","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","OpenStax Physics: Waves","https://openstax.org/books/physics/pages/13-introduction","2026-09-14","Vibration, wave motion, energy transfer, and sound as a mechanical wave."
"s1827","2","Famous books","Dorothy Follows the Yellow Road","verified-against-primary-text","characters, sequence, principal action, outcome, and source-work attribution","Project Gutenberg: The Wonderful Wizard of Oz","https://www.gutenberg.org/ebooks/55","2026-09-14","Primary-text comparison completed. Dorothy's journey, companions, goals, danger, and return through the silver shoes."
"s1828","2","Mystery and adventure","Three Bells after Closing","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1829","2","Travel and culture","Painted Doors on the Hill","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1830","2","People and biography","A Shelf for Shared Seeds","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1831","3","Fantasy/stories","The Map beneath the Paint","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1832","3","Nature and animals","Warm Air under Feathers","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","U.S. National Park Service: Feathers","https://www.nps.gov/media/video/view.htm?id=19CFCBC9-94D8-4225-A5EF-02313BA36239","2026-09-14","Feathers as insulation and the need for feather maintenance."
"s1833","3","World affairs","A Clinic on Market Day","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1834","3","Everyday life","The Recipe with No Number","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1835","3","History","Books Hidden in Family Chests","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","Associated Press: Timbuktu manuscripts return home","https://apnews.com/article/785663f5854718cca7abdcc95ddeba66","2026-09-14","Timbuktu's scholarly collections and the local evacuation of manuscripts during the 2012 occupation."
"s1836","3","Science","Ice, Water, and Steam","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","OpenStax Chemistry 2e: Phases and Classification of Matter","https://openstax.org/books/chemistry-2e/pages/1-2-phases-and-classification-of-matter","2026-09-14","Solid, liquid, and gas states and changes caused by heating or cooling."
"s1837","3","Famous books","Pinocchio Wants to Be Real","verified-against-primary-text","characters, sequence, principal action, outcome, and source-work attribution","Project Gutenberg: The Adventures of Pinocchio","https://www.gutenberg.org/ebooks/500","2026-09-14","Primary-text comparison completed. Geppetto, Pinocchio's choices, lies, responsibility, and transformation."
"s1838","3","Mystery and adventure","The Key in the Seed Box","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1839","3","Travel and culture","The Long Table in Autumn","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1840","3","People and biography","Mavi Draws the Night Route","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1841","4","Fantasy/stories","A Library for Lost Minutes","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1842","4","Nature and animals","Roots in Salt Water","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","NOAA Ocean Service: What is a mangrove forest?","https://oceanservice.noaa.gov/facts/mangroves.html","2026-09-14","Intertidal habitat, low-oxygen soils, sediment capture, shelter, and coastal stabilization."
"s1843","4","World affairs","Votes for a Small Park","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1844","4","Everyday life","The Chair beside the Lift","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1845","4","History","Ink, Metal, and Many Pages","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","Library of Congress: The Gutenberg Bible","https://www.loc.gov/exhibits/bibles/the-gutenberg-bible.html","2026-09-14","Movable metal type in Western Europe and the Gutenberg Bible's place in book production history."
"s1846","4","Science","Why a Metal Spoon Feels Cold","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","OpenStax Physics: Heat Transfer","https://openstax.org/books/physics/pages/11-2-heat-specific-heat-and-heat-transfer","2026-09-14","Heat flow, thermal equilibrium, and differences in conduction between materials."
"s1847","4","Famous books","Jim and the Island Map","verified-against-primary-text","characters, sequence, principal action, outcome, and source-work attribution","Project Gutenberg: Treasure Island","https://www.gutenberg.org/ebooks/120","2026-09-14","Primary-text comparison completed. Jim Hawkins, the map, Long John Silver, mutiny, voyage, and outcome."
"s1848","4","Mystery and adventure","The Window That Lit at Noon","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1849","4","Travel and culture","Paper Boats in Alder City","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1850","4","People and biography","A Better Street Signal","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1851","5","Fantasy/stories","The Tailor of Borrowed Courage","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1852","5","Nature and animals","A Butterfly across Generations","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","U.S. Fish & Wildlife Service: The phenomenal monarch migration","https://www.fws.gov/story/phenomenal-monarch-migration","2026-09-14","Multi-generation migration, overwintering journey, milkweed, nectar, and environmental cues."
"s1853","5","World affairs","The Warning before the Flood","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1854","5","Everyday life","The Box Marked Someday","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1855","5","History","Messages That Became Dots and Lines","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","Smithsonian Institution Archives: Drawing of the Electromagnetic Telegraph and Alpha Code","https://siarchives.si.edu/collections/siris_sic_12874","2026-09-14","Morse, Vail, telegraph equipment, coded signals, and the 1840s network context."
"s1856","5","Science","Continents on Restless Plates","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","U.S. Geological Survey: This Dynamic Earth","https://www.usgs.gov/publications/dynamic-earth-story-plate-tectonics","2026-09-14","Moving plates, boundary types, earthquakes, volcanoes, mountains, and crust formation."
"s1857","5","Famous books","Toad Learns Too Slowly","verified-against-primary-text","characters, sequence, principal action, outcome, and source-work attribution","Project Gutenberg: The Wind in the Willows","https://www.gutenberg.org/ebooks/27805","2026-09-14","Primary-text comparison completed. Mole, Rat, Badger, Toad's motorcar obsession, prison escape, and recovery of Toad Hall."
"s1858","5","Mystery and adventure","The Museum's Missing Dust","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1859","5","Travel and culture","The Guest Who Asked First","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1860","5","People and biography","Nadia Counts the Empty Seats","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1861","6","Fantasy/stories","The Archive of Unsaid Apologies","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1862","6","Nature and animals","Gifts from Returning Salmon","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","U.S. National Park Service: Nature & Science","https://www.nps.gov/subjects/nnlandmarks/naturescience.htm","2026-09-14","Salmon life cycle and the qualified movement of marine-derived nutrients into watersheds."
"s1863","6","World affairs","Lessons in the Temporary Hall","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1864","6","Everyday life","The Meeting with an Empty Chair","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1865","6","History","A Map around a Water Pump","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","CDC MMWR: Historical Perspectives—John Snow and the Broad Street Pump","https://www.cdc.gov/mmwr/preview/mmwrhtml/mm5334a1.htm","2026-09-14","The 1854 cholera investigation, mapped deaths, local inquiry, pump handle, and limits of causal interpretation."
"s1866","6","Science","How DNA Keeps a Copy","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","National Human Genome Research Institute: DNA Fact Sheet","https://www.genome.gov/about-genomics/fact-sheets/DNA-Fact-Sheet","2026-09-14","DNA structure, four bases, complementary pairing, and replication."
"s1867","6","Famous books","The Traveler Sees Two Futures","verified-against-primary-text","characters, sequence, principal action, outcome, and source-work attribution","Project Gutenberg: The Time Machine","https://www.gutenberg.org/ebooks/35","2026-09-14","Primary-text comparison completed. The Time Traveller, Eloi, Morlocks, class division, far future, and final disappearance."
"s1868","6","Mystery and adventure","The Ledger That Lost a Line","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1869","6","Travel and culture","The Word Missing from the Menu","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1870","6","People and biography","Tomas Keeps the Failed Repairs","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1871","7","Fantasy/stories","The Bridge That Remembered Weight","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1872","7","Nature and animals","Elephants beyond Human Hearing","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","Smithsonian's National Zoo: Asian elephant","https://nationalzoo.si.edu/animals/asian-elephant","2026-09-14","Low-frequency elephant calls, social contact, distance, and the need to qualify transmission conditions."
"s1873","7","World affairs","A Budget Written in Plain Language","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1874","7","Everyday life","The Favor That Became a Schedule","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1875","7","History","Rails Meeting at Promontory","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","U.S. National Park Service: Golden Spike National Historical Park history","https://www.nps.gov/gosp/learn/historyculture/index.htm","2026-09-14","Promontory Summit in 1869, railroad labor, and consequences of transcontinental expansion."
"s1876","7","Science","What Immune Memory Remembers","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","CDC: Explaining How Vaccines Work","https://www.cdc.gov/vaccines/basics/explaining-how-vaccines-work.html","2026-09-14","Antigens, immune response, memory, variable protection, and booster rationale."
"s1877","7","Famous books","Hester Refuses to Disappear","verified-against-primary-text","characters, sequence, principal action, outcome, and source-work attribution","Project Gutenberg: The Scarlet Letter","https://www.gutenberg.org/ebooks/33","2026-09-14","Primary-text comparison completed. Hester, Pearl, Dimmesdale, Chillingworth, the scarlet letter, confession, and ending."
"s1878","7","Mystery and adventure","The Tunnel Drawn after the Fire","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1879","7","Travel and culture","A Quiet Morning in Orsa","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1880","7","People and biography","Imani Redesigns the Form","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1881","8","Fantasy/stories","The City That Taxed Prophecies","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1882","8","Nature and animals","When Coral Loses Its Color","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","NOAA Ocean Service: What is coral bleaching?","https://oceanservice.noaa.gov/facts/coral_bleach.html","2026-09-14","Heat stress, loss of symbiotic algae, bleaching, recovery, and mortality risk."
"s1883","8","World affairs","The Food Report That Included Waste","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1884","8","Everyday life","A Promotion with Two Prices","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1885","8","History","Petitions before the Nineteenth Amendment","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","U.S. National Archives: 19th Amendment","https://www.archives.gov/milestone-documents/19th-amendment","2026-09-14","Ratification, organizing methods, constitutional language, and continuing discriminatory barriers."
"s1886","8","Science","The Atmosphere's Useful Blanket","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","NASA Science: What is the greenhouse effect?","https://science.nasa.gov/climate-change/faq/what-is-the-greenhouse-effect/","2026-09-14","Infrared radiation, greenhouse gases, the natural effect, human forcing, and the limits of the blanket analogy."
"s1887","8","Famous books","Dorian Bargains with His Portrait","verified-against-primary-text","characters, sequence, principal action, outcome, and source-work attribution","Project Gutenberg: The Picture of Dorian Gray","https://www.gutenberg.org/ebooks/174","2026-09-14","Primary-text comparison completed. Dorian, Basil, Lord Henry, the changing portrait, murder, and final scene."
"s1888","8","Mystery and adventure","The Election Box with Extra Weight","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1889","8","Travel and culture","Winter Rooms of Talven","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1890","8","People and biography","Elias Publishes the Null Result","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1891","9","Fantasy/stories","The Court of Reversible Decisions","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1892","9","Nature and animals","Peat Built by Incomplete Decay","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","UNEP: Global Peatlands Initiative","https://www.unep.org/explore-topics/ecosystems-and-biodiversity/what-we-do/global-peatlands-initiative","2026-09-14","Peat formation, carbon storage, drainage, fire, rewetting, and restoration limits."
"s1893","9","World affairs","The Heat Map with Missing Homes","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1894","9","Everyday life","Inheritance in Twelve Boxes","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1895","9","History","Earthrise from Apollo 8","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","NASA: Apollo 8's Earthrise","https://www.nasa.gov/image-article/apollo-8-earthrise/","2026-09-14","Apollo 8 crew, lunar orbit, the Earthrise photographs, and careful distinction from earlier lunar-distance images."
"s1896","9","Science","A Result Needs Its Uncertainty","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","NIST: Uncertainty of Measurement Results","https://physics.nist.gov/cuu/Uncertainty/","2026-09-14","Measurement uncertainty, random and systematic components, coverage, and reporting precision."
"s1897","9","Famous books","Dorothea Revises Her Idea of a Great Life","verified-against-primary-text","characters, sequence, principal action, outcome, and source-work attribution","Project Gutenberg: Middlemarch","https://www.gutenberg.org/ebooks/145","2026-09-14","Primary-text comparison completed. Dorothea, Casaubon, Will, Lydgate, marriage, reform, and the novel's social web."
"s1898","9","Mystery and adventure","The Voice in the Flood Archive","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1899","9","Travel and culture","Three Voices beside Each Object","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1900","9","People and biography","Juno Audits the Helpful Algorithm","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1901","10","Fantasy/stories","The Ministry of Almost Certain Things","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1902","10","Nature and animals","Wolves, Elk, and the Limits of a Cascade","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","U.S. National Park Service: Wolf restoration in Yellowstone","https://www.nps.gov/yell/learn/nature/wolves.htm","2026-09-14","Wolf reintroduction, predation, scavengers, vegetation responses, and multi-cause cautions."
"s1903","10","World affairs","A Debt Test for the Sea Wall","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1904","10","Everyday life","The Friendship Maintenance Window","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1905","10","History","A Continent Reserved for Peace and Science","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","Antarctic Treaty Secretariat: The Antarctic Treaty","https://www.ats.aq/e/antarctictreaty.html","2026-09-14","Signing, entry into force, peaceful use, science, data exchange, nuclear provisions, and territorial claims."
"s1906","10","Science","CRISPR as a Guided Molecular Tool","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","National Human Genome Research Institute: What is genome editing?","https://www.genome.gov/about-genomics/policy-issues/Genome-Editing/what-is-genome-editing","2026-09-14","Guide RNA, Cas enzymes, DNA repair, edit types, off-target effects, delivery, and clinical limits."
"s1907","10","Famous books","The Karamazov Brothers Face a Father's Death","verified-against-primary-text","characters, sequence, principal action, outcome, and source-work attribution","Project Gutenberg: The Brothers Karamazov","https://www.gutenberg.org/ebooks/28054","2026-09-14","Primary-text comparison completed. Fyodor, Dmitri, Ivan, Alyosha, Smerdyakov, the murder, trial, and central moral conflicts."
"s1908","10","Mystery and adventure","The Observatory's Impossible Transit","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1909","10","Travel and culture","The Return Ticket to Varos","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1910","10","People and biography","Mei Designs the Exit before the Pilot","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
