id,level,topic,title,words,sentences,average_sentence_words,maximum_sentence_words,grammar_status,syntax_status,structure_status,editorial_status,notes
"s1925","2","Science","Why the Moon Looks Different","55","6","9.2","12","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1926","2","Famous books","Alice Follows a White Rabbit","50","4","12.5","15","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1927","2","Mystery and adventure","The Lunchbox with the Wrong Name","59","5","11.8","19","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1928","2","People and biography","Nara Repairs One Bicycle","59","5","11.8","19","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1929","3","Fantasy/stories","The Bell beneath the Lake","64","6","10.7","16","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1930","3","Nature and animals","A Beaver Changes a Stream","64","5","12.8","16","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1931","3","World affairs","The Library Opens Later","59","5","11.8","16","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1932","3","Everyday life","A Cup Returned with a Note","59","4","14.8","22","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1933","3","History","The Charter at Runnymede","67","4","16.8","22","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1934","3","Science","Cabbage Water Changes Color","70","6","11.7","16","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1935","3","Famous books","Heidi Returns to the Mountains","63","6","10.5","15","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1936","3","Mystery and adventure","The Muddy Number Seven","60","6","10","14","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1937","3","Travel and culture","Tea on the Wind Hill","59","5","11.8","18","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1938","4","Nature and animals","How a Penguin Holds Heat","74","7","10.6","18","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1939","4","World affairs","Cool Rooms during a Heat Wave","79","6","13.2","18","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1940","4","Everyday life","The Calendar No One Owned","73","6","12.2","13","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1941","4","History","The Army Made of Clay","82","6","13.7","20","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1942","4","Science","A Clear Bag around a Branch","74","6","12.3","21","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1943","4","Famous books","Black Beauty Meets Kind and Cruel Hands","73","5","14.6","18","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1944","4","Mystery and adventure","The Blue Light in Cabin Nine","69","6","11.5","15","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1945","4","Travel and culture","Threads at Cedar Market","78","7","11.1","17","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1946","4","People and biography","The Gardener Who Lowered the Beds","79","8","9.9","13","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1947","5","Fantasy/stories","The River That Fell Asleep","102","7","14.6","22","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1948","5","Nature and animals","An Octopus Changes Its Look","88","7","12.6","18","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1949","5","World affairs","A Ballot without a Stair","93","7","13.3","20","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1950","5","Everyday life","The Garden behind the Lease","87","8","10.9","15","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1951","5","Science","Bread Rises on Yeast Gas","83","7","11.9","19","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1952","5","Famous books","Anne Finds a Home at Green Gables","101","7","14.4","19","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1953","5","Mystery and adventure","The Photograph Taken Tomorrow","96","8","12","17","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1954","5","Travel and culture","The Last Ferry to Orin","89","7","12.7","18","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1955","5","People and biography","Iven Keeps the Oven Warm","92","6","15.3","22","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1956","6","Fantasy/stories","The Station for Unclaimed Memories","109","6","18.2","27","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1957","6","World affairs","Water Prices in a Dry Year","101","7","14.4","24","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1958","6","Everyday life","Saturday at the Repair Table","102","7","14.6","21","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1959","6","History","Freedom Won in Saint-Domingue","98","5","19.6","25","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1960","6","Science","A Complete Path for Electric Current","94","6","15.7","24","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1961","6","Famous books","Fogg Races around the World","97","7","13.9","18","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1962","6","Mystery and adventure","Seven Keys and One Warm Lock","114","9","12.7","17","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1963","6","Travel and culture","Three Ways to Say Welcome in Vela","108","7","15.4","32","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1964","6","People and biography","Daro Builds a Bridge in Pieces","102","7","14.6","22","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1965","7","Fantasy/stories","The Market Where Shadows Were Traded","125","10","12.5","20","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1966","7","Nature and animals","Fungi Return a Fallen Tree to the Forest","111","8","13.9","19","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1967","7","World affairs","Homes after the Factory Closed","116","7","16.6","23","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1968","7","History","Many Roads Called the Silk Roads","107","6","17.8","25","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1969","7","Science","Resistance Is an Evolutionary Problem","107","7","15.3","26","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1970","7","Famous books","Buck Hears the Call","109","7","15.6","28","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1971","7","Mystery and adventure","The Radio Message from an Empty Mine","115","9","12.8","24","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1972","7","Travel and culture","Following the Wells of Aras","112","7","16","21","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1973","7","People and biography","Lena Preserves Ordinary Voices","114","8","14.3","25","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1974","8","Fantasy/stories","The City That Forgot Its Names","128","9","14.2","24","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1975","8","Nature and animals","Horseshoe Crabs at the Spring Tide","109","7","15.6","25","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1976","8","Everyday life","The Roster beside the Hospital Bed","118","8","14.8","26","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1977","8","History","What the Emancipation Proclamation Changed","122","6","20.3","29","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1978","8","Science","Listening for Distortions in Space-Time","119","7","17","23","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1979","8","Famous books","The Creature Asks Victor to Listen","124","9","13.8","24","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1980","8","Mystery and adventure","A Star Missing from the Observatory","119","8","14.9","28","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1981","8","Travel and culture","Two Currencies at the Reed Market","120","8","15","21","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1982","8","People and biography","Mara Maps Water without Owning It","115","7","16.4","24","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1983","9","Fantasy/stories","An Archive of Futures That Did Not Happen","131","8","16.4","21","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1984","9","Nature and animals","A Whale Fall Becomes a Deep-Sea Habitat","122","7","17.4","24","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1985","9","World affairs","The Appeal behind the Benefits Algorithm","117","8","14.6","21","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1986","9","Everyday life","Closing an Account after a Death","124","9","13.8","22","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1987","9","History","Designing the Bretton Woods Institutions","116","8","14.6","24","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1988","9","Famous books","Jane Eyre Chooses Equality","120","7","17.1","22","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1989","9","Mystery and adventure","The Harbor Ledger with Two Midnights","121","7","17.3","25","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1990","9","Travel and culture","The Pilgrim Road without a Finish Line","119","8","14.9","19","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1991","9","People and biography","Sorin Turns a Shop into a Cooperative","115","8","14.4","19","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1992","10","Fantasy/stories","The Prophecy That Required Consent","143","8","17.9","30","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1993","10","Nature and animals","The Negotiated Partnership around a Root","123","7","17.6","28","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1994","10","World affairs","A Constitution Written after the Storm","131","7","18.7","28","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1995","10","Everyday life","The Promise Hidden in a Group Chat","136","8","17","25","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1996","10","History","How Smallpox Eradication Was Verified","124","7","17.7","31","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1997","10","Science","Entanglement without Faster Messages","132","6","22","33","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1998","10","Mystery and adventure","The Evidence Bag That Arrived Before the Crime","147","9","16.3","23","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1999","10","Travel and culture","Returning the Mask from the Glass Case","139","7","19.9","25","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s2000","10","People and biography","Ada Counts Who Is Missing","132","8","16.5","21","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
