id,title,text_sha256,status,evidence,note
s011,Bridge Built in a Single Winter,8e2254f1152c32f7b22b927ca7be59894855ede2f897ad36a544a51cc048e72d,authored-fiction-or-illustration,,"The opening says the bridge is invented, yet the ending claims local historians still cite it. The ice-supported construction and six-year survival also imply an implausibly certain engineering outcome. Write a self-contained fictional winter footbridge with bank-supported work, an inspection and removal before thaw, preserving the workers’ need for a safer crossing without presenting a fabricated historical case."
s012,What the Brain Does During Sleep,ecaa6ae5a6fefcff2067621449e46e5a539e27d699501a8c22d1d3c8667a6284,institutional-source-verified-editorial-review-2026-09-26,https://pmc.ncbi.nlm.nih.gov/articles/PMC6281147/; https://pmc.ncbi.nlm.nih.gov/articles/PMC3880190/,"The complete explanation accurately describes sleep stages, memory support, attention and emotional effects while preserving uncertainty around brain-fluid clearance. The glymphatic paragraph correctly identifies the strongest direct clearance experiment as animal research and does not present the mechanism as a settled human “brain wash.”"
s013,Clockmaker's Apprentice,e43da1b6c3439a03f9343a3b371027c2b7d6a67adf183fec0a58b3c436ec1abb,authored-fiction-or-illustration,,"The original contains a sentence fragment (“However, in a pattern”), leaves the gear’s star pattern unexplained and ends without resolving the client’s deadline. Rebuild the clue as a deliberately engraved sky chart that helps locate a missing spring, show Teodor testing the repair and give the client a concrete reason for returning."
s014,Leafcutter Ants and Their Fungus Garden,9f0296e1fb221d3d8e38a5a6de2d5ebc00d211737da85a75f13b8fd1851c2179,institutional-source-verified-editorial-review-2026-09-26,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002007; https://pmc.ncbi.nlm.nih.gov/articles/PMC5992151/; https://pmc.ncbi.nlm.nih.gov/articles/PMC1617182/,"The complete account correctly distinguishes the leaves used as a fungal substrate from the cultivated fungus eaten by ants, describes a queen carrying starter fungus, and limits the bacteria defense to some leafcutter relatives. The medical-use sentence remains explicitly speculative. The original leafcutter-genome study and studies of Acromyrmex defensive symbionts support the main claims; no change to the full text is needed."
s015,When a River Crosses a Border,581b0989cd8c3109b0b38a4c2389b54d727a8ac51ae0d0e5e78856a6aac3dc82,institutional-source-verified-editorial-revision-2026-09-26,https://legal.un.org/ilc/texts/instruments/english/conventions/8_3_1997.pdf,"The original overstates an absence of binding international frameworks, treats adverse dam effects as inevitable, and claims compensation is typical of successful agreements. The 1997 UN Watercourses Convention sets equitable and reasonable use, prevention of significant harm, exchange of information and notification of planned measures for its parties, while river-specific agreements vary. Replace sweeping claims with a hypothetical case and accurately bounded treaty description."
s016,Apartment Above the Bakery,6cbc162ca0cb8f4dd587c801b8343491f0660a858f37c9ebd947a8b19368f238,authored-fiction-or-illustration,,"The narrative’s basic arc is clear, but most sentences are overloaded with qualifications and the almost imperceptible kneading sounds are an odd source of lost sleep. Make the early-morning disturbance concrete, give Marcus and the baker a conversation about noise, and let the ending grow from a workable arrangement rather than passive acceptance alone."
s017,Telegraph Operator Who Changed a War,4d9814c4d6aab4bfc86492e679e35dc0758d5eaeb6a2ab111d9a66866ccf4a84,authored-fiction-or-illustration,,"The opening labels the account fictional but invents official military records, later historians and current citations, falsely implying a documented case. Remove those claims, make the war and operator openly invented, and avoid presenting a two-hour delay as certainly preventing friendly fire. Preserve the dilemma, request for clarification, and a limited outcome witnessed by the character."
s018,Spirals in Seashell Growth,a99fd03758ae508204806dea16ca38904dc0c7ebc10374f3fa5aaa068a1095b1,institutional-source-verified-editorial-review-2026-09-26,https://umdb.um.u-tokyo.ac.jp/DKankoub/Publish_db/2002Shell/02/02100.html; https://www.um.u-tokyo.ac.jp/web_museum/ouroboros/v24n2/v24n2_sato.html; https://science.nasa.gov/missions/hubble/hubble-spies-galactic-traffic-jam/; https://www.nesdis.noaa.gov/about/k-12-education/atmosphere/what-the-coriolis-effect,"The full explanation accurately describes accretion at the shell edge, the use of an approximate logarithmic or equiangular spiral for many coiled shells, limits of a mathematical model, and the lack of a common physical mechanism behind superficially similar galactic and biological spirals. University of Tokyo museum material confirms the growth and model distinction; no change is needed. NASA and NOAA also support the distinction between galactic density-wave patterns and storm circulation."
s019,Archivist's Debt,ba650b009e7c8a00c550c9abc390e63c05597c097145a197994dc5be981cb5c0,authored-fiction-or-illustration,,"The original spends its length setting up the cipher and locked room, then withholds what Ilsabet discovers, so neither the debt nor her changed behavior is intelligible. Give the old promise a concrete object, let the key date follow from the deciphered record, and show her decision to make suppressed testimony accessible."
s020,Life Around Deep-Sea Hydrothermal Vents,fbafa08d1d0b149a492b555a85f56d662e3964f80cdff9bd5fe0f811d4f81266,institutional-source-verified-editorial-review-2026-09-26,https://oceanexplorer.noaa.gov/explainers/marine-life/; https://oceanexplorer.noaa.gov/expedition-feature/22escanaba-features-hydrothermal-systems/; https://www.whoi.edu/oceanus/feature/deep-sea-tubeworms-get-versatile-inside-help/; https://science.nasa.gov/resource/ingredients-for-life-at-enceladus/,"The full passage coherently traces the 1977 Pacific discovery, seawater circulation, chemosynthesis, adult tube-worm symbiosis and a carefully limited astrobiology implication. NOAA, WHOI and NASA confirm the factual claims, including blood-borne chemicals to the symbionts. Level 8 terminology is explained in sequence; the text does not imply that deep-sea animals were wholly unknown or that alien life has been found."
s021,Who Keeps the Digital Currency Record?,12c76ebdbdf1ee45c02c5f4186271cbe3394a27b5a8e286b73541310c1ee42ee,institutional-source-verified-editorial-revision-2026-09-26,https://www.bis.org/publications/aer-2018/cryptocurrencies-looking-beyond-hype; https://www.imf.org/en/blogs/articles/2021/07/26/blog-cryptoassets-as-national-currency-a-step-too-far,"The original falsely implies that governments or banks issued almost all money throughout history, treats all distributed assets as beyond concentrated influence, and overstates inflation protection and inclusion. Its sentences are unusually dense and its migration subtopic unrelated. Rewrite as a bounded explanation of permissionless ledgers, distinguish them from other digital money, qualify benefits and risks, and identify the electricity issue specifically with mining. BIS and IMF institutional analyses support the revised claims."
s022,Neighbor Who Kept Score,4a374db1ece771bc8822b1e93585ef30be96c6cb71adfcff12264c5e8085d2cd,authored-fiction-or-illustration,,The original finds an empathetic motive for Hendricks’s notes but leaves Renata’s anxiety and the intrusive behavior largely unchanged. Retain the outage and bereavement while having the neighbors agree on a shared channel for genuine building concerns and a limit on personal notes.
s023,Committee That Erased Itself,20d13e3e7305af41623cab41ee606bdb6a2a8aa4d653362b41e5ab46604a3c5e,authored-fiction-or-illustration,,"The piece calls itself fictional yet states that government historians later studied a particular commission, presenting a fabricated event as recorded history. Its authority problem also needs a concrete procedure. Frame the account as an invented government, pause the destruction of records, obtain legal advice and show the council closing the group while preserving its report."
s024,The Memory That Isn't Where You Think It Is,ea197a37d95becd5b62494e31e77ccad8fa730068c9828fce737f55134c9d885,inherited-v2.9.4,fact_check_all_2000.csv#s024,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s025,Baker Who Whispered to Bread,facda97b4a72cc97dc96fa27bbf2ade7b294ceb403c9f78f85edf7f348e4de99,authored-fiction-or-illustration,,"The story suggests an old starter sits bubbling in dozens of pots and that every loaf literally contains part of every previous loaf. Recast the starter as a single culture Oskar feeds and uses regularly, while keeping the dialogue and lesson that a whispered phrase cannot replace technique and patient fermentation."
s026,Door That Only Opened at Noon,a03099b172686fb4d0af81dc4e263dcb234a6f01e241ae2b373110e423587b6e,authored-fiction-or-illustration,,"The original has Nessa arrive after school just before noon, an impossible sequence for an ordinary school day, and places her return at the last strike of the same twelve-bell chime after she spends a minute in the meadow. Move the visit to a free Saturday and use a short open interval with a visible closing cue."
s027,The Tailor's Invisible Thread,a80e93982fa9e59a8251ac19066546555aad29b694427ff4302ae42e10b974cf,authored-fiction-or-illustration,,"The complete Level 6 fantasy is internally consistent: the visible tear, the tailor’s inherited invisible thread, the widower’s wish to preserve the dress, and the later decision to lock the spool away follow in order. It makes no claim that such thread exists outside the fictional village; the prose and pronouns need no change."
s028,River That Remembered Names,03a363ca072d2cb5845bbebe4358dc63eaf964a79daf50299234a30d3f2529e2,authored-fiction-or-illustration,,"The river’s voice is a clear fantasy premise, but Tomasz strikes his head, nearly drowns and resumes fishing with no response to the injury, while the repeated superstition debate adds little. Give a companion a concrete rescue role, make him rest and seek help for the head injury, and let his later respect for the river lead to safer fishing."
s029,Clockmaker's Second Apprentice,c25988f15882027af213a6bc64bb938dcea8ab3626bc4abbd47f270859ec679b,authored-fiction-or-illustration,,"The apprentice’s gift predicts failures without any particular test, consequence or recognition, and the master quietly takes credit. Make one prediction concrete, have Halvard check a clock for a developing fault, and give Ren explicit shared credit while leaving the fantasy gift unexplained."
s030,The Garden Grown From Borrowed Time,2422989b68c112886ca261f34f3370810143bedc3a1cc2ed893f55f2e7a9d398,authored-fiction-or-illustration,,"The original sets up a magical cost to each flower but ends by avoiding Ingrid’s decision, leaving no action or consequence. Show her choosing ordinary growth for part of the garden, tell a neighbor enough to make the choice visible, and retain some uncertainty about the bargain’s exact cost rather than asserting an unmeasured exchange."
s031,Cartographer Who Sold Directions,29f9e2cd158176880886d37e3f302008343e3991c78d1d142fd9fce75af888d4,authored-fiction-or-illustration,,"The premise promises personalized directions to impossible places but reports outcomes only as vague revelations and a silent widower, so the reader cannot evaluate the service or its cost. Give the widower a specific route to a present-day location connected to his memory, let him state what it did and did not restore, and preserve the cartographer’s limits."
s032,Innkeeper's Ledger of Debts,154c3a01b3fe370aeb9131345605b103df2bed30da5a400a6f635bf01b29a7c3,authored-fiction-or-illustration,,"Corvin’s invisible moral debts are a fantasy device, but the original has him secretly create inconveniences and judge guests without consent, with no witnessed resolution. Have him offer a conversation and a practical chance to repair a broken promise, leaving the guest free to decide."
s033,How Crows Learn a Dangerous Face,dbbf000e5fc703d78e6e9aacf841a1c8c6b238ab8e5aea3fa14493af9ebd50d0,original-research-verified-editorial-revision-2026-09-26,https://faculty.washington.edu/wirsinga/Cornell2011.pdf,"The original is generally based on a real field study but dramatizes immediate recognition, calls all masks rubber without need, and leaps from five years of observations to a claim that the information outlives any individual crow. The original study distinguished crows captured by masked researchers, uncaptured adults learning in groups, and young birds learning from parents. Rewrite the account with measured observations and the study's limits; correct the unrelated plants-and-fungi subtopic. Short clauses, chronological sequencing and clear referents suit Level 5."
s034,How Trees and Fungi Exchange Resources Underground,abe5ffceca8715c758c43932c81de8cc71238ae3c08117c793780738be589e61,inherited-v2.9.4,fact_check_all_2000.csv#s034,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s035,Fish That Climbs Waterfalls,5f8076a405d3656850c9290975fe72d7b4482e22c6fb476946fc248888741fcd,inherited-v2.9.4,fact_check_all_2000.csv#s035,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s036,The Bees That Vote With Their Bodies,665255b95b3c2174aef3a647179c48352433ff7fc7c3b37e3dc9ec215b1c78eb,inherited-v2.9.4,fact_check_all_2000.csv#s036,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s037,Elephant's Long Memory for Grief,5b3edcf744129322a74addf6652596772d123b1d86ba158b18f700d5e25bdfd7,inherited-v2.9.4,fact_check_all_2000.csv#s037,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s038,Bird That Fakes a Broken Wing,8002c204401b4858e15f5d9eb891ba018fcb5a8f0b269c8f7f1f6f75a9ff3b55,inherited-v2.9.4,fact_check_all_2000.csv#s038,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s039,The Fungus That Controls an Ant's Mind,bc1bceb476ff2638f36299ef2144a46b0edf4b3d148b6fb5fb94d9791aef2ca3,inherited-v2.9.4,fact_check_all_2000.csv#s039,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s040,How Humpback Whale Songs Spread,e8196742df633e6e9f2b6b9ebd34c94553bd522df2e425cea66a25aea1033529,inherited-v2.9.4,fact_check_all_2000.csv#s040,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s041,Town That Shared One Library Book,919bf31bac1206a57d56635e9fd11131fafd66b70e1147d31be6a043a4022b02,inherited-v2.9.4,fact_check_all_2000.csv#s041,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s042,A School With No Walls,eb430b955dc5bb7564da05553e2fce5f08cc69a9cab6e184a119137e63e3a1fc,inherited-v2.9.4,fact_check_all_2000.csv#s042,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s043,Island Nation Selling Its Weather,734aa4266a445dd82763cf01eb7fe61f7ad6c3da4581cf9041693a5675312f6e,inherited-v2.9.4,fact_check_all_2000.csv#s043,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s044,City That Rented Out Its Rooftops,8d412a5dd5c1369ab806b21a944ef76b8eb5653301a7aa251c3b16771608d077,inherited-v2.9.4,fact_check_all_2000.csv#s044,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s045,The Border That Moves Every Spring,93bb4454c2ec4bb2837124c8c27d3c05dc8bef726a632292ac2a75e774aaaa85,inherited-v2.9.4,fact_check_all_2000.csv#s045,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s046,Country Without an Official Language,b5ba619370988f3f7f1660b470b90bfdae1309adbebe54f8ab413d25384dd628,inherited-v2.9.4,fact_check_all_2000.csv#s046,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s047,Treaty No One Remembers Signing,d0a9c22eef25e3bc2d7162514a298ab0cbab19a730129214277d41bbf240a558,inherited-v2.9.4,fact_check_all_2000.csv#s047,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s048,The River Two Countries Refuse to Stop Sharing,f9e000f2c6b2ef3d294313faf0ae294edafc313c203bb476e186a188ed85d904,inherited-v2.9.4,fact_check_all_2000.csv#s048,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s049,Umbrella That Belonged to Everyone,16df8c7a272e77ff046b4e88c4aa1ac89cf4d82551def6e0de5b1df19217b7f2,inherited-v2.9.4,fact_check_all_2000.csv#s049,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s050,Learning to Ride a Bike at Forty,942b50d8640bb2fda0b2aba5d5551149b75d18b6f9e1342947808507455e9f49,inherited-v2.9.4,fact_check_all_2000.csv#s050,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s051,The Neighbor's Garden Wall,75d1cd148bf0f1db18ca58bc2e222d985a25a7d491b837c08061109784819dd6,inherited-v2.9.4,fact_check_all_2000.csv#s051,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s052,Waiting for the Repairman,1f6cd0676b906b90539399193b7c5799ffbbaac617acfb83529d1d11f2487aa6,inherited-v2.9.4,fact_check_all_2000.csv#s052,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s053,Silence After the Renovation,218f3cc26d8032fca343195f12098f8b80979aec0ecf78fe49a6d211c8882333,inherited-v2.9.4,fact_check_all_2000.csv#s053,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s054,The Habit of Sunday Phone Calls,ecd634445a139aa2d5502b7cb4958d2a9980e16b6e309d8c22632300c1967481,inherited-v2.9.4,fact_check_all_2000.csv#s054,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s055,Inheritance of an Empty House,a00c53923098b025239faea3a410f19658750a99ed115c5292db32d64ef7d38c,inherited-v2.9.4,fact_check_all_2000.csv#s055,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s056,Ritual of the Late Train,1ef08f51e6416e7ed011450642fb86139ebf050ae5168b51f44d5caafae290b6,inherited-v2.9.4,fact_check_all_2000.csv#s056,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s057,The Boy Who Rang the Wrong Bell,70ff2f57751d7142cfe1d9064dd88c99bf2dcdf4f0a31f961f57149dde0c7e1c,inherited-v2.9.4,fact_check_all_2000.csv#s057,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s058,Map Made of Sticks,c19365bf84893167c7f45d5b3639a8dd290278920ae872839e2dad2d52446a2d,inherited-v2.9.4,fact_check_all_2000.csv#s058,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s059,Winter the River Became a Road,afd2d6a6a396712fd6f4c0d002f450c8b63e478b0df1cd4ade751e3bb85d695c,inherited-v2.9.4,fact_check_all_2000.csv#s059,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s060,The Queen Who Never Left Her Room,43394ab9101a4e5d7b048d267655de99d25c2e6a0420ea887ec376ddc0e93249,inherited-v2.9.4,fact_check_all_2000.csv#s060,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s061,Clerk Who Saved a City's Records,6aa059ac7c138e582078453b2eb37a5173cf8113dba72768ebc48ad3707a9395,inherited-v2.9.4,fact_check_all_2000.csv#s061,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s062,Expedition That Got the Math Wrong,bdbd683a76cfa066674b804ceccdddcf52de2aab1ff3d03c4e591f6da283dda3,inherited-v2.9.4,fact_check_all_2000.csv#s062,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s063,The Diplomat Who Negotiated in Silence,6a59dbe437f8defca8a6697a0a75ab0e25b7ecc72f2f9f1731367d459a224183,inherited-v2.9.4,fact_check_all_2000.csv#s063,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s064,Census That Counted the Wrong Century,33f641e1b3b2fb8afdb9a656ceec753137cb435719092ab1c99b97d40b5d5382,inherited-v2.9.4,fact_check_all_2000.csv#s064,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s065,Why Onions Make You Cry,51ce0991da47d0a8500dfbea7520fa2712441a11f04ff845fc1d24b46b396a90,inherited-v2.9.4,fact_check_all_2000.csv#s065,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s066,How Spiders Build Without a Plan,1bf85ed9152ce571c9f74d36881d1d056d6f879c74fe867dcad56d2b7b830a4d,inherited-v2.9.4,fact_check_all_2000.csv#s066,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s067,Ice That Doesn't Melt Evenly,6b495878808556552698efa87404ba7c3b07bb2862109aa413d3d50feb4491fb,inherited-v2.9.4,fact_check_all_2000.csv#s067,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s068,Why Some Metals Remember Their Shape,1b7adfb78fa9fe5c7b23fbc6cb0486af83ccb86bccf5e472e59c8ce178395720,inherited-v2.9.4,fact_check_all_2000.csv#s068,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s069,The Bacteria That Eat Plastic,1167615eeabbda5e2f309bebbacf0b9469b0e4e75cb7b26fdc71cde4877df93d,inherited-v2.9.4,fact_check_all_2000.csv#s069,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s070,Do Plants Feel Pain?,49b92a3d1496143e066ec2b19c4f39e274c53b3453433e58048a4ce3ef1f7a76,inherited-v2.9.4,fact_check_all_2000.csv#s070,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s071,Particle That Barely Exists,b862e85a0d477f5c343549ea2765c6d11f363b04123b9a9bb13f4ee4a933f4ac,inherited-v2.9.4,fact_check_all_2000.csv#s071,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s072,The Clock That Runs Faster on a Mountain,cac13fe55219ddb3650b76fe533446c702be398d723d094100f35751cc6bebc1,inherited-v2.9.4,fact_check_all_2000.csv#s072,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s073,Scrooge Sees His Past,e7becc031a5eb5cd1d60184510cc0ad7616c596c343350f4670ec5cdea635832,inherited-v2.9.4,fact_check_all_2000.csv#s073,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s074,Scrooge Meets the Second Spirit,0a183eb1610a53c0e7a781ef85b2fac72c650cb8b861b730f19e4261c0986d7d,inherited-v2.9.4,fact_check_all_2000.csv#s074,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s075,Elizabeth Meets Mr Darcy,1b9e579aba3ce31b6e2baf9edbe3e5c10ef16dd67de4fb6e01371d44eebd9e06,inherited-v2.9.4,fact_check_all_2000.csv#s075,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s076,Darcy's First Proposal,1f2d5a3e5b50e6edebcff68008ee81bb31b4aeefd4adc836d9954600f1326a1b,inherited-v2.9.4,fact_check_all_2000.csv#s076,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s077,Pip Meets the Convict,07bbfaceb5875f34d76aa32da12ef37482872ab0362bb44acbd06f1b56043b41,inherited-v2.9.4,fact_check_all_2000.csv#s077,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s078,Pip Visits Miss Havisham,9f9bcd08e102e43ca30d24376c2a3618a1f26a71a2228ae056f4858667ddfbdc,inherited-v2.9.4,fact_check_all_2000.csv#s078,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s079,A Tale of Two Cities Begins,ff577341d5d799ac78bc65f8264e0fcbbba381d18839500cdb566d4822c76671,inherited-v2.9.4,fact_check_all_2000.csv#s079,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s080,Doctor Manette Returns to Life,216ff70a8338f1a22b868de57a2384dd4c7efcb19b496e3874e868296928700b,inherited-v2.9.4,fact_check_all_2000.csv#s080,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s081,The Lantern That Only Lights for Honest People,f08e9bea0ed8b9b8e05007eecd1c84421b8ebe3c0fe7e3bfe993e4015e3e1cfa,inherited-v2.9.4,fact_check_all_2000.csv#s081,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s082,Weaver Who Sold Dreams by the Yard,8f392d6672e81bd7e032e8b8ef7963470f3d1fc22626e703dd5cb4480c57e16f,inherited-v2.9.4,fact_check_all_2000.csv#s082,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s083,Apprentice Who Inherited a Debt of Silence,60293006199eabe39d3b341067faf2329a631b03207a864cc368645efb1cbca8,inherited-v2.9.4,fact_check_all_2000.csv#s083,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s084,The Bridge That Charges a Different Toll to Everyone,2b87b35f088bacffce4ae49c4fac481daaee35cfb4db0d985f73261c7486ef75,inherited-v2.9.4,fact_check_all_2000.csv#s084,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s085,What Octopus Color Changes Can Signal,09f8ce0c425d64aa4fd468246a789ecb04538108d6f932dfb047ac8262e1996b,inherited-v2.9.4,fact_check_all_2000.csv#s085,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s086,Ants That Build Living Bridges,ed4f8b19abc2cee6101c5cb37e1f59dc9056fca048eedbfef0721322d53cba2c,inherited-v2.9.4,fact_check_all_2000.csv#s086,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s087,The Bat That Navigates by Borrowed Echoes,1bcc99e6a4fde0734b522285fbb05c80cfc6414138ff6c3da47d6609f0c5c31f,inherited-v2.9.4,fact_check_all_2000.csv#s087,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s088,How Corals Record Past Ocean Conditions,1eb22e88490a1a1bf67960acf979a5b11d8fd60d8e0183a2ce6612be7c91b8d8,inherited-v2.9.4,fact_check_all_2000.csv#s088,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s089,Village That Grows Its Own Electricity,63eca95dbae73ecd283f231b57fe4b4025e001b87073e16b8264b4a81d178d35,inherited-v2.9.4,fact_check_all_2000.csv#s089,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s090,The City That Banned Cars for a Day,ceb25954a6268324d1499b0d16b1a9e94b3e73d7099eb9e6a0e9307523611254,inherited-v2.9.4,fact_check_all_2000.csv#s090,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s091,Nation That Measures Progress by Happiness,c6c9e7a31258bbf33174cd761f44664a09cd8f44ce29b75aa41abcdace118986,inherited-v2.9.4,fact_check_all_2000.csv#s091,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s092,Two Cities Sharing One Airport,c5ca3935796b91e58fac95bd005c0360f4ad2bd98cf8ee7f71626d32d3e7986c,inherited-v2.9.4,fact_check_all_2000.csv#s092,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
