id,level,topic,title,metric_status,lexical_flags,editorial_result,action,evidence_terms,editorial_note
s020,8,Nature and animals,Life Around Deep-Sea Hydrothermal Vents,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s021,8,World affairs,The Currency No Government Controls,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,currencies; decentralized; currency; centralized; economic; concerns; economists; financial; governments; traditional,単一の長語率指標のみ超過。低頻度語率と極低頻度語率は基準内で、日常語または題材の理解に必要な語を文脈付きで維持。
s022,8,Everyday life,Neighbor Who Kept Score,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s023,8,History,Committee That Erased Itself,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s024,8,Science,The Memory That Isn't Where You Think It Is,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s025,5,Fantasy/stories,Baker Who Whispered to Bread,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s026,5,Fantasy/stories,Door That Only Opened at Noon,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s027,6,Fantasy/stories,The Tailor's Invisible Thread,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s028,6,Fantasy/stories,River That Remembered Names,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s029,7,Fantasy/stories,Clockmaker's Second Apprentice,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s030,7,Fantasy/stories,The Garden Grown From Borrowed Time,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s031,8,Fantasy/stories,Cartographer Who Sold Directions,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s032,8,Fantasy/stories,Innkeeper's Ledger of Debts,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s033,5,Nature and animals,The Crow Who Remembered Faces,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s034,5,Nature and animals,How Trees and Fungi Exchange Resources Underground,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s035,6,Nature and animals,Fish That Climbs Waterfalls,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s036,6,Nature and animals,The Bees That Vote With Their Bodies,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s037,7,Nature and animals,Elephant's Long Memory for Grief,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,elephants; behavior; behaviors; researchers; emotional; remaining; scientific; community; documented; especially,単一の長語率指標のみ超過。低頻度語率と極低頻度語率は基準内で、日常語または題材の理解に必要な語を文脈付きで維持。
s038,7,Nature and animals,Bird That Fakes a Broken Wing,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s039,8,Nature and animals,The Fungus That Controls an Ant's Mind,vocabulary-review,low-frequency,approved-after-review,retain-topic-vocabulary,ant; fungus; fungal; ant's; behavioral; foraging; manipulation; spores; ants; evolutionary,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s040,8,Nature and animals,How Humpback Whale Songs Spread,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s041,5,World affairs,Town That Shared One Library Book,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s042,8,World affairs,A School With No Walls,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s043,8,World affairs,Island Nation Selling Its Weather,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s044,8,World affairs,City That Rented Out Its Rooftops,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s045,8,World affairs,The Border That Moves Every Spring,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s046,7,World affairs,Country Without an Official Language,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s047,8,World affairs,Treaty No One Remembers Signing,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s048,8,World affairs,The River Two Countries Refuse to Stop Sharing,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s049,5,Everyday life,Umbrella That Belonged to Everyone,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s050,5,Everyday life,Learning to Ride a Bike at Forty,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s051,6,Everyday life,The Neighbor's Garden Wall,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s052,6,Everyday life,Waiting for the Repairman,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s053,7,Everyday life,Silence After the Renovation,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s054,7,Everyday life,The Habit of Sunday Phone Calls,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s055,8,Everyday life,Inheritance of an Empty House,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s056,8,Everyday life,Ritual of the Late Train,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s057,5,History,The Boy Who Rang the Wrong Bell,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s058,8,History,Map Made of Sticks,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s059,8,History,Winter the River Became a Road,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s060,8,History,The Queen Who Never Left Her Room,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s061,7,History,Clerk Who Saved a City's Records,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s062,8,History,Expedition That Got the Math Wrong,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s063,8,History,The Diplomat Who Negotiated in Silence,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s064,8,History,Census That Counted the Wrong Century,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s065,8,Science,Why Onions Make You Cry,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s066,8,Science,How Spiders Build Without a Plan,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s067,6,Science,Ice That Doesn't Melt Evenly,vocabulary-review,low-frequency,approved-after-review,retain-topic-vocabulary,melting; cube; warmer; cubes; currents; melt; melts; meltwater; uneven; absorbs,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s068,6,Science,Why Some Metals Remember Their Shape,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s069,7,Science,The Bacteria That Eat Plastic,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,bacteria; recycling; conventional; naturally; bacterial; biological; discovery; environmental; industrial; researchers,単一の長語率指標のみ超過。低頻度語率と極低頻度語率は基準内で、日常語または題材の理解に必要な語を文脈付きで維持。
s070,8,Science,Do Plants Feel Pain?,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s071,8,Science,Particle That Barely Exists,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,neutrinos; detection; physicists; theoretical; directly; equipment; extraordinarily; including; interaction; otherwise,単一の長語率指標のみ超過。低頻度語率と極低頻度語率は基準内で、日常語または題材の理解に必要な語を文脈付きで維持。
s072,8,Science,The Clock That Runs Faster on a Mountain,vocabulary-review,low-frequency,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s073,5,Famous books,Scrooge Sees His Past,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s074,5,Famous books,Scrooge Meets the Second Spirit,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s075,6,Famous books,Elizabeth Meets Mr Darcy,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s076,6,Famous books,Darcy's First Proposal,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s077,7,Famous books,Pip Meets the Convict,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s078,7,Famous books,Pip Visits Miss Havisham,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s079,8,Famous books,A Tale of Two Cities Begins,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s080,8,Famous books,Doctor Manette Returns to Life,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s081,5,Fantasy/stories,The Lantern That Only Lights for Honest People,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s082,6,Fantasy/stories,Weaver Who Sold Dreams by the Yard,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s083,7,Fantasy/stories,Apprentice Who Inherited a Debt of Silence,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s084,8,Fantasy/stories,The Bridge That Charges a Different Toll to Everyone,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s085,5,Nature and animals,What Octopus Color Changes Can Signal,vocabulary-review,very-low-frequency|long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s086,6,Nature and animals,Ants That Build Living Bridges,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s087,8,Nature and animals,The Bat That Navigates by Borrowed Echoes,vocabulary-review,very-low-frequency,approved-after-review,retain-topic-vocabulary,echolocation; eavesdropping; bat's; navigational; disadvantageous; eavesdrop; provocatively; source's,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s088,8,Nature and animals,How Corals Record Past Ocean Conditions,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s089,6,World affairs,Village That Grows Its Own Electricity,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s090,6,World affairs,The City That Banned Cars for a Day,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s091,7,World affairs,Nation That Measures Progress by Happiness,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,national; economic; indicators; wellbeing; development; framework; happiness; measured; measurement; alongside,単一の長語率指標のみ超過。低頻度語率と極低頻度語率は基準内で、日常語または題材の理解に必要な語を文脈付きで維持。
s092,8,World affairs,Two Cities Sharing One Airport,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s093,5,Everyday life,The Recipe Card With No Measurements,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s094,6,Everyday life,Commute That Became a Friendship,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s095,7,Everyday life,Year Without a Microwave,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s096,8,Everyday life,The Father's Silence and the Son's Questions,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s097,5,History,Drummer Who Warned a Village,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s098,7,History,Coin With Two Different Faces,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s099,7,History,The Interpreter Who Refused to Translate,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s100,8,History,Governor Who Ruled by Letter Only,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s101,5,Science,Why Cats Always Land on Their Feet,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s102,6,Science,The Salt That Preserves Without Cold,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s103,7,Science,Fungus That Glows in the Dark,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s104,8,Science,Star That Refuses to Die Quietly,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s105,5,Famous books,Scrooge Wakes on Christmas Morning,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s106,6,Famous books,The Crisis Caused by Lydia,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s107,7,Famous books,Pip Learns Who Helped Him,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s108,8,Famous books,Carton and Darnay Look Alike,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s109,9,Fantasy/stories,Cartomancer's Final Reading,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s110,9,Fantasy/stories,Puppeteer Who Lost the Strings,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s111,10,Fantasy/stories,The Alchemist's Unfinished Equation,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s112,10,Fantasy/stories,Keeper of Names No One Speaks,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s113,9,Nature and animals,How Instinct and Experience Guide Bird Migration,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s114,9,Nature and animals,How Cleaner Fish Trade a Service,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s115,10,Nature and animals,Ecosystem Hidden Beneath the Ice,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s116,10,Nature and animals,What Scientists Mean by Self-Domestication,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s117,9,World affairs,The Currency Backed by Trust Alone,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s118,9,World affairs,Parliament That Meets Underwater,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s119,10,World affairs,Diplomatic Immunity That Outlived Its Purpose,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s120,10,World affairs,The Federation That Never Formally Existed,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s121,9,Everyday life,Grief That Arrived Years Late,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s122,9,Everyday life,Language Two Siblings Invented,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s123,10,Everyday life,The Inheritance of an Unfinished Argument,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s124,10,Everyday life,Correspondence That Outlasted the Marriage,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s125,9,History,Cartographer Who Erased a Kingdom,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s126,9,History,The Famine That Rewrote a Legal Code,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s127,10,History,Empire That Governed by Rumor,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s128,10,History,Scribe Who Forged His Own Death,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s129,9,Science,How a Small Biological Change Can Affect a Food Web,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s130,9,Science,Memory That Exists Outside the Brain,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s131,10,Science,Symmetry That Physics Cannot Explain,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s132,10,Science,The Jellyfish That Can Reverse Its Life Cycle,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s133,9,Famous books,Elizabeth Reconsiders Mr Darcy,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s134,9,Famous books,The Creature Argues for Justice,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s135,10,Famous books,Gulliver's Travels as Political Satire,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s136,10,Famous books,Frankenstein and the Creator's Responsibility,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s137,5,Fantasy/stories,Chair That Remembers Who Sat In It,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s138,6,Fantasy/stories,The Miller Who Ground Silence Into Flour,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s139,7,Fantasy/stories,Locksmith Who Sold Second Chances,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s140,8,Fantasy/stories,Shepherd Who Herded Forgotten Wishes,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s141,9,Fantasy/stories,The Glassblower Who Trapped a Single Regret,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s142,10,Fantasy/stories,Astronomer Who Charted a Sky That Wasn't There,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s143,5,Nature and animals,Squirrel That Plants a Forest by Accident,vocabulary-review,very-low-frequency,approved-after-review,retain-topic-vocabulary,acorns,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s144,6,Nature and animals,The Frog That Freezes Solid and Survives,vocabulary-review,very-low-frequency,approved-after-review,retain-topic-vocabulary,frog's; antifreeze; thaws,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s145,7,Nature and animals,Spider That Fishes on the Water,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s146,8,Nature and animals,"Black Walnut, Juglone, and Plant Competition",within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s147,9,Nature and animals,The Fish That Changes Sex to Save the Group,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s148,10,Nature and animals,Genome That Contains an Ancient Virus's Instructions,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s149,5,World affairs,Town That Pays Its Bus Fares in Books,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s150,8,World affairs,The Country That Sends Its Trash to Make Electricity,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s151,7,World affairs,City That Elected a Committee of Children,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s152,8,World affairs,Nation That Rents Its Army to the United Nations,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s153,9,World affairs,The Region That Prints Its Own Local Currency Alongside the National One,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s154,10,World affairs,Court That Has No Country to Enforce Its Rulings,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s155,5,Everyday life,Jar of Coins Saved for Nothing in Particular,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s156,6,Everyday life,The Neighbor Who Waters Plants While You're Away,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s157,7,Everyday life,Apartment That Echoes Differently at Night,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s158,8,Everyday life,Promise Kept Long After It Was Forgotten,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s159,9,Everyday life,The Silence That Followed a Retirement,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s160,10,Everyday life,House That Two Siblings Could Not Agree to Sell,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s161,6,History,Well That Never Ran Dry,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s162,8,History,The Merchant Who Paid His Taxes in Salt,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s163,7,History,Bridge Built to Be Destroyed,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s164,8,History,Treaty Signed by Two Men Who Never Met,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s165,9,History,The Regent Who Ruled for a Single Afternoon,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s166,10,History,Archive That Survived by Being Ignored,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s167,5,Science,Why Bananas Turn Brown So Quickly,vocabulary-review,very-low-frequency,approved-after-review,retain-topic-vocabulary,ripening; ethylene; banana's; ripen; fruit's; overripe; peel's; refrigerating; ripened; unripe,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s168,6,Science,How Bread Mold Grows Even in the Fridge,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s169,7,Science,Reason Metal Feels Colder Than Wood,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s170,8,Science,Gas That Makes Deep Divers Talk Strangely,vocabulary-review,low-frequency,approved-after-review,retain-topic-vocabulary,divers; nitrogen; helium; depths; mixtures; narcosis; clearer; narcotic; helium's; intoxication,単一の頻度指標のみ超過。固有の動植物名・科学語・文化語など、題材の核となる語を反復または説明のある文脈で維持。
s171,9,Science,How Proteins Find a Working Shape,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s172,10,Science,Vacuum That Isn't Actually Empty,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
